Mesh,z,x,y,r,T,U,Vol
0.0,1.0,0.0005880255048396066,-0.0009847509791143239,0.0011469561827761746,305.878,0.727263,9.988720281774083e-11
0.0,1.0,0.0010233252542093396,-0.0008180762524716556,0.0013101310357214952,308.3,0.652685,1.0270624891023119e-10
0.0,1.0,0.0015033124946057796,-0.0002240496567083028,0.0015199166770283694,311.511,0.549856,1.362298674390398e-10
0.0,1.0,0.0016363325121346861,0.00027078059542873234,0.001658585608622525,313.729,0.47214,1.0863491225406031e-10
0.0,1.0,0.0012956667633261532,0.0005685064879799029,0.001414903526203576,309.839,0.605437,1.44467185980039e-10
0.0,1.0,0.0010076580074382946,0.00095613747544121,0.0013890909012363461,309.644,0.612951,1.224285245258835e-10
0.0,1.0,0.0007200927648227662,0.0012847197212977335,0.0014727655455779177,311.17,0.562943,9.606990284817517e-11
0.0,1.0,-0.00024133165334205842,0.0015502424794249237,0.0015689145011498703,312.815,0.505547,8.564475045166436e-11
0.0,1.0,-0.0006508852529805154,0.0014186724729370326,0.0015608597624440143,312.588,0.513258,9.695478289925956e-11
0.0,1.0,-0.0010560839873505756,0.0012552974949358031,0.0016404527390724774,313.84,0.465531,8.767896565803671e-11
0.0,1.0,-0.0014235149719752371,0.0011210972734261304,0.0018119751576445974,316.522,0.356948,6.074163816875463e-11
0.0,1.0,-0.001454479992389679,0.0007133817634894513,0.0016200078977403783,313.418,0.481297,9.775583769281121e-11
0.0,1.0,-0.0014979899860918522,0.00021445875449899177,0.0015132635447312958,311.392,0.553875,1.3903322029268065e-10
0.0,1.0,-0.0016315299726556987,-0.0002812260006521683,0.001655589959838099,313.663,0.474367,1.0767753201450912e-10
0.0,1.0,-0.0012897429842269048,-0.0005788722537545254,0.0014136937615797014,309.807,0.606459,1.4524499164093206e-10
0.0,1.0,-0.000999167503323406,-0.0009640667412895709,0.0013884381085803648,309.633,0.613279,1.2233838836018803e-10
0.0,1.0,-0.000710226253431756,-0.0012898374698124826,0.00147244763220835,311.164,0.563132,9.607678233559729e-11
0.0,1.0,0.00025065249883482466,-0.0015526374627370387,0.0015727395734407687,312.883,0.503081,8.47270548510799e-11
0.0,1.0,0.0006598547479370609,-0.0014192024536896497,0.0015651018794103483,312.662,0.510563,9.586995210746756e-11
0.0,1.0,0.0010632664925651625,-0.0012549862294690683,0.0016448483426653084,313.917,0.462577,8.60832196164365e-11
0.0,1.0,0.001427532493835315,-0.0011207315110368654,0.0018149071989461746,316.574,0.354733,5.984726198972126e-11
0.0,1.0,0.0014596749970223755,-0.0007168617594288662,0.0016262047469687577,313.531,0.477056,9.539530761584239e-11
0.0,1.0,0.0020371749997138977,0.00021662509902853344,0.002048660150681035,320.544,0.170463,9.018804637785017e-11
0.0,1.0,0.001938347500981763,0.0006206322432262823,0.0020352826378403402,320.402,0.182446,9.578099724020737e-11
0.0,1.0,0.0016963024972938001,0.0010001794871641323,0.0019692133375713993,319.32,0.242931,1.3891989520529462e-10
0.0,1.0,0.0013940799981355667,0.001372349972371012,0.0019562217379091714,319.189,0.25234,1.4407783746550638e-10
0.0,1.0,0.0010370500094722956,0.0016848949599079788,0.0019784700523560617,319.547,0.232939,1.3103176392099406e-10
0.0,1.0,0.0006372535062837414,0.0019105299725197256,0.0020140051656257355,320.097,0.201083,1.1011410764519318e-10
0.0,1.0,0.00020311590196797627,0.0020160700078122318,0.0020262759797303716,320.259,0.190121,1.0348771734828256e-10
0.0,1.0,-0.0002560438515502028,0.001999719999730587,0.002016045270136353,320.05,0.201205,1.1271678387626299e-10
0.0,1.0,-0.00071409950760426,0.0018843274738173932,0.0020151000311011075,319.993,0.203266,1.1496216619445205e-10
0.0,1.0,-0.0011406532430555671,0.0016883974894881248,0.0020375907104722936,320.302,0.184209,1.031605034397719e-10
0.0,1.0,-0.0015044549654703587,0.0014487474982161075,0.0020886009807322818,321.123,0.135471,6.999440609587705e-11
0.0,1.0,-0.0017518149688839912,0.0011354887537891045,0.0020876279350467487,321.102,0.136531,7.058255168017101e-11
0.0,1.0,-0.0019008349918294698,0.000717982002242934,0.002031913340107819,320.179,0.19051,1.0815795617149096e-10
0.0,1.0,-0.0019964675011578947,0.00024361449709431326,0.0020112758404490826,319.845,0.208721,1.2067051362901992e-10
0.0,1.0,-0.002034532488323748,-0.00022149875053401047,0.002046554211970196,320.524,0.17179,9.076402386550147e-11
0.0,1.0,-0.0019360124715603888,-0.0006246824996196665,0.002034299023095779,320.396,0.182691,9.58383017029501e-11
0.0,1.0,-0.0016944649687502533,-0.0010043249931186438,0.0019697411561229463,319.332,0.242279,1.3843934127113563e-10
0.0,1.0,-0.0013909674889873713,-0.0013751824735663831,0.0019559952430985073,319.186,0.252556,1.442734212925611e-10
0.0,1.0,-0.0010331094963476062,-0.00168681496870704,0.001978044481324355,319.54,0.233374,1.3136053508599675e-10
0.0,1.0,-0.0006329949901555665,-0.0019119449716527015,0.002014005022881049,320.095,0.201206,1.1027731914837303e-10
0.0,1.0,-0.0001990116716115153,-0.0020173024968244135,0.002027095214619092,320.27,0.189389,1.0297161194712247e-10
0.0,1.0,0.00025989782534452393,-0.0020001124939881265,0.00201692758130435,320.062,0.200488,1.1224179817759783e-10
0.0,1.0,0.0007180334941949695,-0.001883447461295873,0.002015675181731349,319.998,0.202929,1.1480351841143021e-10
0.0,1.0,0.0011437669745646417,-0.0016873599670361727,0.0020384765268359278,320.318,0.183269,1.0240705472514697e-10
0.0,1.0,0.0015061324811540544,-0.0014480974932666868,0.0020893590885227293,321.134,0.134829,6.96351954345025e-11
0.0,1.0,0.0017531199846416712,-0.0011352567526046187,0.0020885970350655,321.117,0.135574,7.002254575856317e-11
