Mesh,z,x,y,r,T,U
2.2,1.0,-0.0004946696280967444,-0.00047560087114106864,0.0006862173340797468,299.692,0.906502
2.2,1.0,-0.0005689606259693392,-0.00044610862460103817,0.0007230000683588158,300.055,0.896344
2.2,1.0,-0.0006375314915203489,-0.00039999762157094665,0.0007526250726241951,300.348,0.888154
2.2,1.0,-0.0007047372419037856,-0.00034560199856059626,0.0007849173979058134,300.684,0.878777
2.2,1.0,-0.0007709053752478212,-0.0002902773758250987,0.0008237451380748111,301.108,0.866901
2.2,1.0,-0.0008348088740603998,-0.00023982937455002684,0.0008685758372802282,301.627,0.852322
2.2,1.0,-0.0008939187464420684,-0.00019864837304339744,0.0009157247956418716,302.2,0.836146
2.2,1.0,-0.0009356492519145831,-0.00011199344771739561,0.0009423279975358624,302.54,0.826553
2.2,1.0,-0.0009334511196357198,-3.9087380827140805e-05,0.000934269134719276,302.437,0.829479
2.2,1.0,-0.000939237121201586,4.463874327598205e-05,0.0009402972866302985,302.507,0.82748
2.2,1.0,-0.0009538495141896419,0.00013424429835140472,0.000963249929851893,302.8,0.819163
2.2,1.0,-0.0009761637556948699,0.0002242324990220368,0.001001586686987193,303.312,0.804574
2.2,1.0,-0.0010032037389464676,0.00031072575075086206,0.001050222944910203,303.984,0.785229
2.2,1.0,0.0004340095001680311,0.000790537626016885,0.0009018392231348759,302.026,0.841074
2.2,1.0,0.00045886775114922784,0.0007012799906078726,0.0008380651754319157,301.261,0.862606
2.2,1.0,0.0004928170019411482,0.0006079326194594614,0.0007825922739237234,300.649,0.879751
2.2,1.0,0.0005308763684297446,0.0005134909988555592,0.0007385815624985732,300.191,0.892596
2.2,1.0,0.0005679818641510792,0.00041544612395227887,0.0007037036875784489,299.842,0.902342
2.2,1.0,0.0006070683666621335,0.00031233262416208163,0.0006827032077834428,299.637,0.908084
2.2,1.0,0.0006499902519863099,0.00020529349967546295,0.0006816397499311685,299.624,0.908453
2.2,1.0,0.0006977701268624514,9.66046377470775e-05,0.0007044257277924236,299.839,0.902455
2.2,1.0,0.0007507113696192391,-1.0690825547499117e-05,0.0007507874893912929,300.302,0.889484
2.2,1.0,0.0008081354972091503,-0.00011379571287761792,0.0008161081093328296,301.007,0.86973
2.2,1.0,0.0008692508708918467,-0.00021141225261089858,0.0008945905304105608,301.929,0.843802
2.2,1.0,0.000776027372921817,-0.0002752671334746992,0.0008234017720987214,301.091,0.867379
2.2,1.0,0.0006816203749622218,-0.00034148487975471653,0.0007623767170269126,300.426,0.886012
2.2,1.0,0.000589416129514575,-0.0004097477503819391,0.0007178471931233013,299.975,0.898641
2.2,1.0,0.0005036466318415478,-0.0004793127554876264,0.0006952701973610524,299.759,0.904672
2.2,1.0,0.00042673737698351033,-0.0005462887493195012,0.0006932071743337856,299.746,0.905025
2.2,1.0,0.00035728975126403384,-0.0006052098688087426,0.0007028050595021429,299.846,0.902223
2.2,1.0,0.00029160763006075285,-0.0006516712455777451,0.0007139400690691752,299.962,0.898967
2.2,1.0,0.00022320412608678453,-0.0006815963788540103,0.0007172124549734651,299.995,0.898036
2.2,1.0,0.00014739674861630192,-0.0006978278834139928,0.0007132247586649741,299.95,0.899297
2.2,1.0,6.420168688237027e-05,-0.0007071354993968271,0.0007100439923735303,299.914,0.900295
2.2,1.0,-2.5093825342992204e-05,-0.000712418623152189,0.0007128604314200678,299.939,0.899607
2.2,1.0,-0.00011926576280529844,-0.0007148037475417368,0.0007246852555953106,300.054,0.896374
2.2,1.0,-0.00021736312373832334,-0.0007139841254684143,0.0007463377646764084,300.273,0.890243
2.2,1.0,-0.00022252387680055108,-0.0006080880048102699,0.0006475244376396011,299.325,0.916761
2.2,1.0,-0.0003199846250936389,-0.0006009155040374026,0.0006808007074679361,299.631,0.908197
2.2,1.0,-0.00041698124914546497,-0.0005879285017726943,0.0007207865740533722,300.021,0.897292
2.2,1.0,-0.0005119636225572322,-0.0005653542539221235,0.0007627136967760346,300.453,0.885199
2.2,1.0,-0.0006006822513882071,-0.0005266918742563576,0.0007988889143932841,300.845,0.874232
2.2,1.0,-0.0006800724950153381,-0.0004738383722724393,0.00082886754159768,301.174,0.865
2.2,1.0,-0.0007517706108046696,-0.0004154611269768793,0.0008589336408003383,301.518,0.855349
2.2,1.0,-0.0008174007380148396,-0.00035655212559504434,0.0008917810183972009,301.911,0.844299
2.2,1.0,-0.0008770839922362939,-0.0003010357504535932,0.000927307312862523,302.352,0.831852
2.2,1.0,-0.0009298003715230152,-0.0002516032473067753,0.0009632408447214286,302.819,0.818613
2.2,1.0,-0.0009717739885672927,-0.00020979874898330308,0.0009941630650607293,303.241,0.806555
2.2,1.0,-0.0009927751234499738,-0.00016518787560926285,0.0010064241054294218,303.416,0.80156
2.2,1.0,-0.0009995393702411093,-0.00010613299855322111,0.0010051582791003072,303.382,0.802531
2.2,1.0,-0.0010077212355099618,-3.444346447167845e-05,0.00100830969485696,303.416,0.801587
2.2,1.0,-0.00101926525530871,4.493088482604435e-05,0.0010202550882454746,303.574,0.797035
2.2,1.0,-0.0010350686352467164,0.00012795822294719983,0.0010429479308629484,303.884,0.788119
2.2,1.0,-0.0010551362356636673,0.00021129187553015072,0.0010760839802150866,304.352,0.774576
2.2,1.0,-0.0010784512269310653,0.0002923337524407543,0.0011173701587590444,304.952,0.757045
2.2,1.0,-0.001103820017306134,0.00036923861989635043,0.0011639397703612827,305.647,0.736486
2.2,1.0,-0.0010332223755540326,0.0003919397458957974,0.001105063455987203,304.77,0.762373
2.2,1.0,-0.0009598903634469025,0.00041855237577692606,0.0010471750575270285,303.941,0.786487
2.2,1.0,-0.0008833207539282739,0.00044975899800192565,0.000991230906804318,303.174,0.808526
2.2,1.0,-0.0008036501239985228,0.00048695949953980744,0.0009396717916351968,302.498,0.827756
2.2,1.0,-0.0007217559978016652,0.0005312151261023246,0.0008961703133682715,301.953,0.843178
2.2,1.0,-0.0006383453874150291,0.0005823584942845628,0.0008640753725800931,301.567,0.854035
2.2,1.0,-0.0005543133884202689,0.0006379102414939553,0.0008450992893056035,301.351,0.860097
2.2,1.0,-0.00047005462693050504,0.0006892158708069474,0.0008342480859258564,301.23,0.863494
2.2,1.0,-0.0003890317530022003,0.0007315547554753721,0.0008285638569854447,301.167,0.865268
2.2,1.0,-0.0003151751297991723,0.0007665621233172715,0.0008288261888650773,301.175,0.865059
2.2,1.0,-0.00024486300026183017,0.0007910363638075069,0.0008280678823399851,301.168,0.865256
2.2,1.0,-0.00017384562306688167,0.0008076474987319671,0.0008261457394839696,301.144,0.865923
2.2,1.0,-0.00010245949897580431,0.0008231286265072413,0.000829480973082608,301.181,0.864886
2.2,1.0,-3.207485116263342e-05,0.0008381067455047742,0.0008387202828939512,301.288,0.86187
2.2,1.0,3.71859866277191e-05,0.0008509920007782057,0.0008518040754715667,301.442,0.857539
2.2,1.0,0.00010693121294025332,0.000859249870700296,0.0008658779501750516,301.608,0.85286
