                    QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
193      Tavg_z0.001_t1       0  1.0  1.0   92  300.001171 -4.522501e-05  0.250000  3.015675e-06      NaN
194      Tavg_z0.001_t1       0  1.0  1.0   93  300.001164 -2.919534e-01  2.000000  1.231052e-06      NaN
195      Tavg_z0.001_t1       0  1.0  1.0   94  300.001166 -6.620374e-03  1.236844  1.694206e-06      NaN
196      Tavg_z0.001_t1       0  1.0  1.0   95  300.001165 -2.325369e-02  1.502165  1.808993e-06      NaN
197      Tavg_z0.001_t1       0  1.0  1.0   96  300.001164 -2.734955e-01  2.000000  2.671393e-06      NaN
198      Tavg_z0.001_t1       0  1.0  1.0   97  300.001169 -5.287883e-05  0.340972  3.140027e-07      NaN
199      Tavg_z0.001_t1       0  1.0  1.0   98  300.001164 -2.503262e-02  1.548728  2.984926e-06      NaN
200      Tavg_z0.001_t1       0  1.0  1.0   99  300.001171 -4.390643e-05  0.250000  3.859283e-07      NaN
201      Tavg_z0.001_t1       0  1.0  1.0  100  300.001165 -5.961550e-03  1.221864  7.188953e-07      NaN
202      Tavg_z0.001_t1       0  2.0  0.0    0  300.001171 -4.758514e-05  0.250000  2.160256e-06      NaN
203      Tavg_z0.001_t1       0  2.0  0.0    1  300.001162 -4.466279e-02  1.806878  2.382270e-06      NaN
204      Tavg_z0.001_t1       0  2.0  0.0    2  300.001167 -9.393482e-05  0.462326  1.112502e-06      NaN
205      Tavg_z0.001_t1       0  2.0  0.0    3  300.001166 -2.760901e-04  0.686431  9.934047e-07      NaN
206      Tavg_z0.001_t1       0  2.0  0.0    4  300.001166 -3.588163e-04  0.689925  1.866011e-06      NaN
207      Tavg_z0.001_t1       0  2.0  0.0    5  300.001171 -5.078578e-05  0.250000  2.414022e-06      NaN
208      Tavg_z0.001_t1       0  2.0  0.0    6  300.001172 -4.974694e-05  0.250000  2.389613e-06      NaN
209      Tavg_z0.001_t1       0  2.0  0.0    7  300.001174 -6.197635e-05  0.250000  1.572293e-06      NaN
210      Tavg_z0.001_t1       0  2.0  0.0    8  300.001175 -7.062769e-05  0.250000  2.106109e-06      NaN
211      Tavg_z0.001_t1       0  2.0  0.0    9  300.001165 -1.747739e-03  1.072241  9.942578e-07      NaN
212      Tavg_z0.001_t1       0  2.0  0.0   10  300.001162 -7.829163e-02  2.000000  2.227064e-06      NaN
213      Tavg_z0.001_t1       0  2.0  0.0   11  300.001167 -1.354506e-04  0.513281  1.145655e-06      NaN
214      Tavg_z0.001_t1       0  2.0  0.0   12  300.001171 -4.691013e-05  0.250000  3.912699e-07      NaN
215      Tavg_z0.001_t1       0  2.0  0.0   13  300.001170 -5.685727e-05  0.301172  6.591316e-07      NaN
