             QOI  subset    p    s    b       beta0        beta1          beta2        beta12    gamma1    gamma2     objective  p-value
177  Temperature       0  1.0  1.0   76  305.791683    31.398860   10104.340715 -1.455796e+06  3.039806  1.999916  1.094479e-07      NaN
178  Temperature       0  1.0  1.0   77  305.791677    31.441469   10045.506792 -1.449613e+06  3.040533  1.998861  3.001798e-05      NaN
179  Temperature       0  1.0  1.0   78  305.782611   156.248873     227.802058 -1.694918e+05  3.999854  1.291043  2.124807e-03      NaN
180  Temperature       0  1.0  1.0   79  305.791680    31.388005   10107.281432 -1.455534e+06  3.039594  1.999953  6.046965e-04      NaN
181  Temperature       0  1.0  1.0   80  305.784669   154.517314     257.375343 -1.922076e+05  3.999800  1.316213  2.097149e-03      NaN
182  Temperature       0  1.0  1.0   81  305.791678    31.379829   10106.091049 -1.455159e+06  3.039422  1.999965  6.047320e-04      NaN
183  Temperature       0  1.0  1.0   82  305.792714    32.148404    9458.598010 -1.485327e+06  3.048100  1.999828  2.892660e-05      NaN
184  Temperature       0  1.0  1.0   83  305.686736   114.884763      37.952194 -1.118458e+04  3.737188  0.850841  1.278935e-03      NaN
185  Temperature       0  1.0  1.0   84  305.791663    32.383614    9007.130768 -1.351336e+06  3.056283  1.980067  9.357441e-06      NaN
186  Temperature       0  1.0  1.0   85  305.791676    31.388121   10104.067932 -1.454785e+06  3.039628  1.999856  6.046334e-04      NaN
187  Temperature       0  1.0  1.0   86  305.782759   155.121625     237.618695 -1.743596e+05  3.999976  1.297594  2.099137e-03      NaN
188  Temperature       0  1.0  1.0   87  305.791669    31.417278   10059.134925 -1.449518e+06  3.040181  1.999002  1.366756e-07      NaN
189  Temperature       0  1.0  1.0   88  305.610810   263.784452       6.959923 -4.509804e+03  3.990202  0.526857  1.051123e-04      NaN
190  Temperature       0  1.0  1.0   89  305.791882    32.697410   10310.744475 -1.553137e+06  3.064503  1.999947  7.322050e-05      NaN
191  Temperature       0  1.0  1.0   90  305.791676    31.441528   10040.968903 -1.448910e+06  3.040545  1.998773  3.010334e-05      NaN
192  Temperature       0  1.0  1.0   91  305.787753    57.108674     289.791310 -1.116297e+05  3.303836  1.414295  1.521845e-05      NaN
193  Temperature       0  1.0  1.0   92  305.784662   154.526962     257.191558 -1.920776e+05  3.999802  1.316078  2.097169e-03      NaN
194  Temperature       0  1.0  1.0   93  305.792974    31.285078   14375.742395 -1.476772e+06  3.171242  1.999572  1.137454e-03      NaN
195  Temperature       0  1.0  1.0   94  305.930723    97.021991      -3.223489 -9.191085e+02  2.824473  0.430127  1.928827e-03      NaN
196  Temperature       0  1.0  1.0   95  305.789877    23.961021    9113.542188 -1.068425e+06  2.874424  1.999925  4.468084e-04      NaN
197  Temperature       0  1.0  1.0   96  305.825308   271.236741     -86.712106 -2.043278e+05  3.998645  1.222501  1.484680e-03      NaN
198  Temperature       0  1.0  1.0   97  305.791674    31.367963   10099.018220 -1.454480e+06  3.039036  1.999966  6.068221e-05      NaN
199  Temperature       0  1.0  1.0   98  305.791879    32.696089   10313.090469 -1.553097e+06  3.064503  1.999947  7.337877e-05      NaN
200  Temperature       0  1.0  1.0   99  305.791676    31.411742   10077.622693 -1.452174e+06  3.040075  1.999374  8.744055e-08      NaN
201  Temperature       0  1.0  1.0  100  305.791675    31.412711   10074.242551 -1.451625e+06  3.040092  1.999297  6.021304e-08      NaN
202  Temperature       0  2.0  0.0    0  305.790843   145.597228     440.561723 -3.127448e+05  3.999842  1.416598  4.255216e-03      NaN
203  Temperature       0  2.0  0.0    1  305.794228    33.782676   11745.051672 -1.584737e+06  3.148171  1.999994  2.064749e-03      NaN
204  Temperature       0  2.0  0.0    2  305.799027   160.792339     400.838054 -4.502380e+05  3.999961  1.465180  5.385006e-04      NaN
205  Temperature       0  2.0  0.0    3  305.797019   135.876633     850.439256 -5.565767e+05  3.999841  1.535723  2.765885e-03      NaN
206  Temperature       0  2.0  0.0    4  305.795937   154.429973     379.028976 -3.321791e+05  3.999994  1.416415  3.324321e-03      NaN
207  Temperature       0  2.0  0.0    5  305.800029   147.251009     419.634332 -3.667560e+05  3.999811  1.444672  3.766471e-03      NaN
208  Temperature       0  2.0  0.0    6  305.800672    58.864632   11245.030907 -2.936078e+06  3.499677  1.999973  1.029552e-03      NaN
209  Temperature       0  2.0  0.0    7  305.789500   111.612877    1065.297758 -4.610442e+05  3.904339  1.536486  2.678289e-03      NaN
