             QOI  subset    p    s    b       beta0     beta1    gamma1  objective  p-value
186  Temperature       0  1.0  1.0   85  305.702606  2.852655  1.353304   0.003456      NaN
187  Temperature       0  1.0  1.0   86  305.697432  2.366545  1.227116   0.002359      NaN
188  Temperature       0  1.0  1.0   87  305.712315  2.814040  1.352751   0.013055      NaN
189  Temperature       0  1.0  1.0   88  305.700679  2.441460  1.251107   0.009427      NaN
190  Temperature       0  1.0  1.0   89  305.791108  2.777606  1.519527   0.008585      NaN
191  Temperature       0  1.0  1.0   90  305.772055  2.683764  1.454091   0.008905      NaN
192  Temperature       0  1.0  1.0   91  305.634963  2.192871  1.068191   0.006183      NaN
193  Temperature       0  1.0  1.0   92  305.611630  2.122426  1.000728   0.015220      NaN
194  Temperature       0  1.0  1.0   93  305.727037  3.006008  1.439771   0.011588      NaN
195  Temperature       0  1.0  1.0   94  305.506858  1.965619  0.787598   0.007933      NaN
196  Temperature       0  1.0  1.0   95  305.700089  2.438297  1.248958   0.013360      NaN
197  Temperature       0  1.0  1.0   96  305.700140  2.438705  1.249197   0.001114      NaN
198  Temperature       0  1.0  1.0   97  305.791356  2.947607  1.580116   0.014168      NaN
199  Temperature       0  1.0  1.0   98  305.764361  2.572096  1.399028   0.010287      NaN
200  Temperature       0  1.0  1.0   99  305.700557  2.439735  1.250391   0.006596      NaN
201  Temperature       0  1.0  1.0  100  305.732323  2.439019  1.249674   0.011388      NaN
202  Temperature       0  2.0  0.0    0  305.615538  2.214334  1.022458   0.015459      NaN
203  Temperature       0  2.0  0.0    1  305.701873  2.733999  1.326603   0.007519      NaN
204  Temperature       0  2.0  0.0    2  305.667349  2.410478  1.167139   0.013353      NaN
205  Temperature       0  2.0  0.0    3  305.559189  2.022896  0.883219   0.011578      NaN
206  Temperature       0  2.0  0.0    4  305.634243  2.439791  1.119063   0.014496      NaN
207  Temperature       0  2.0  0.0    5  305.685797  2.518643  1.224311   0.015245      NaN
208  Temperature       0  2.0  0.0    6  305.637422  2.217144  1.063308   0.011871      NaN
209  Temperature       0  2.0  0.0    7  305.605527  2.257233  1.019096   0.015995      NaN
210  Temperature       0  2.0  0.0    8  305.612643  2.347967  1.050963   0.015927      NaN
211  Temperature       0  2.0  0.0    9  305.612643  2.432140  1.098990   0.004953      NaN
212  Temperature       0  2.0  0.0   10  305.696285  2.595428  1.274680   0.013066      NaN
213  Temperature       0  2.0  0.0   11  305.574605  2.168500  0.966051   0.012069      NaN
214  Temperature       0  2.0  0.0   12  305.616973  2.085944  0.969614   0.003945      NaN
215  Temperature       0  2.0  0.0   13  305.517252  2.139640  0.859049   0.010689      NaN
216  Temperature       0  2.0  0.0   14  305.491951  1.984481  0.778727   0.008902      NaN
217  Temperature       0  2.0  0.0   15  305.672971  2.356297  1.148877   0.011788      NaN
218  Temperature       0  2.0  0.0   16  305.561120  1.963759  0.859863   0.013578      NaN
219  Temperature       0  2.0  0.0   17  305.645625  2.291136  1.096330   0.015123      NaN
220  Temperature       0  2.0  0.0   18  305.537041  2.071986  0.857503   0.015228      NaN
221  Temperature       0  2.0  0.0   19  305.464038  2.045366  0.777181   0.008112      NaN
222  Temperature       0  2.0  0.0   20  305.588242  2.092865  0.930169   0.011121      NaN
223  Temperature       0  2.0  0.0   21  305.579078  2.041774  0.918701   0.011274      NaN
224  Temperature       0  2.0  0.0   22  305.439585  1.937712  0.700968   0.006822      NaN
225  Temperature       0  2.0  0.0   23  305.582837  2.144663  0.955863   0.013419      NaN
226  Temperature       0  2.0  0.0   24  305.658617  2.454506  1.159918   0.008765      NaN
227  Temperature       0  2.0  0.0   25  305.668204  2.303601  1.144699   0.011307      NaN
228  Temperature       0  2.0  0.0   26  305.619415  2.149527  1.004593   0.011428      NaN
229  Temperature       0  2.0  0.0   27  305.666783  2.187616  1.093168   0.013138      NaN
230  Temperature       0  2.0  0.0   28  305.666627  2.431134  1.155442   0.012922      NaN
231  Temperature       0  2.0  0.0   29  305.639714  2.130330  1.029986   0.014325      NaN
232  Temperature       0  2.0  0.0   30  305.638358  2.173084  1.061351   0.015739      NaN
233  Temperature       0  2.0  0.0   31  305.574551  2.015308  0.895589   0.014682      NaN
234  Temperature       0  2.0  0.0   32  305.702285  2.393233  1.240126   0.007953      NaN
235  Temperature       0  2.0  0.0   33  305.354242  1.954847  0.631277   0.008339      NaN
236  Temperature       0  2.0  0.0   34  305.674679  2.464931  1.191189   0.010037      NaN
237  Temperature       0  2.0  0.0   35  305.619000  2.373734  1.086694   0.012519      NaN
238  Temperature       0  2.0  0.0   36  305.637307  2.388565  1.096029   0.010765      NaN
239  Temperature       0  2.0  0.0   37  305.630875  2.399852  1.098086   0.011570      NaN
240  Temperature       0  2.0  0.0   38  305.538562  1.999434  0.854574   0.011142      NaN
241  Temperature       0  2.0  0.0   39  305.689324  2.537874  1.237142   0.010690      NaN
242  Temperature       0  2.0  0.0   40  305.676483  2.328666  1.159082   0.011944      NaN
243  Temperature       0  2.0  0.0   41  305.686075  2.635635  1.272711   0.015072      NaN
244  Temperature       0  2.0  0.0   42  305.497498  2.025036  0.811605   0.014793      NaN
245  Temperature       0  2.0  0.0   43  305.647990  2.337880  1.109277   0.012640      NaN
246  Temperature       0  2.0  0.0   44  305.655641  2.357466  1.139627   0.014586      NaN
247  Temperature       0  2.0  0.0   45  305.690374  2.616125  1.269428   0.010792      NaN
248  Temperature       0  2.0  0.0   46  305.638879  2.303978  1.082328   0.011871      NaN
249  Temperature       0  2.0  0.0   47  305.649478  2.339792  1.109127   0.014295      NaN
250  Temperature       0  2.0  0.0   48  305.519215  2.085504  0.844889   0.006894      NaN
251  Temperature       0  2.0  0.0   49  305.596420  2.204577  0.983666   0.015646      NaN
252  Temperature       0  2.0  0.0   50  305.675408  2.348627  1.164572   0.011328      NaN
253  Temperature       0  2.0  0.0   51  305.530899  2.076414  0.864746   0.014419      NaN
254  Temperature       0  2.0  0.0   52  305.687192  2.478359  1.233621   0.009154      NaN
255  Temperature       0  2.0  0.0   53  305.603713  2.087292  0.966051   0.011342      NaN
256  Temperature       0  2.0  0.0   54  305.365080  1.931580  0.638702   0.010306      NaN
257  Temperature       0  2.0  0.0   55  305.525904  2.059945  0.862305   0.010395      NaN
258  Temperature       0  2.0  0.0   56  305.626990  2.075259  0.996162   0.012235      NaN
259  Temperature       0  2.0  0.0   57  305.617407  2.479566  1.109629   0.008760      NaN
260  Temperature       0  2.0  0.0   58  305.564416  2.208568  0.944973   0.012306      NaN
261  Temperature       0  2.0  0.0   59  305.652979  2.198305  1.077109   0.014190      NaN
262  Temperature       0  2.0  0.0   60  305.531983  2.184033  0.898356   0.014947      NaN
263  Temperature       0  2.0  0.0   61  305.527318  2.096974  0.869303   0.010241      NaN
264  Temperature       0  2.0  0.0   62  305.476219  2.004876  0.776693   0.013816      NaN
265  Temperature       0  2.0  0.0   63  305.653397  2.450281  1.151801   0.014078      NaN
266  Temperature       0  2.0  0.0   64  305.542119  2.083892  0.884277   0.011946      NaN
267  Temperature       0  2.0  0.0   65  305.476275  1.947317  0.756104   0.012173      NaN
268  Temperature       0  2.0  0.0   66  305.620707  2.154428  1.003388   0.013626      NaN
269  Temperature       0  2.0  0.0   67  305.602249  2.109437  0.981257   0.016115      NaN
270  Temperature       0  2.0  0.0   68  305.583018  2.238576  0.982511   0.015747      NaN
271  Temperature       0  2.0  0.0   69  305.529205  1.985091  0.829183   0.013141      NaN
272  Temperature       0  2.0  0.0   70  305.493968  1.987825  0.786214   0.013701      NaN
273  Temperature       0  2.0  0.0   71  305.564728  2.315433  0.976138   0.008201      NaN
274  Temperature       0  2.0  0.0   72  305.461266  1.951083  0.729793   0.004560      NaN
275  Temperature       0  2.0  0.0   73  305.460050  2.036402  0.762126   0.007220      NaN
276  Temperature       0  2.0  0.0   74  305.669112  2.355570  1.149712   0.014483      NaN
277  Temperature       0  2.0  0.0   75  305.525183  2.085142  0.869954   0.009027      NaN
278  Temperature       0  2.0  0.0   76  305.683513  2.273709  1.156576   0.007702      NaN
279  Temperature       0  2.0  0.0   77  305.658456  2.230240  1.093369   0.011945      NaN
280  Temperature       0  2.0  0.0   78  305.631995  2.399476  1.105664   0.011564      NaN
281  Temperature       0  2.0  0.0   79  305.653690  2.262742  1.099491   0.010402      NaN
282  Temperature       0  2.0  0.0   80  305.598847  2.073589  0.943217   0.014873      NaN
283  Temperature       0  2.0  0.0   81  305.696493  2.646570  1.285661   0.014793      NaN
284  Temperature       0  2.0  0.0   82  305.575605  2.070000  0.936944   0.009852      NaN
285  Temperature       0  2.0  0.0   83  305.689317  2.304655  1.185758   0.007620      NaN
286  Temperature       0  2.0  0.0   84  305.637486  2.358447  1.101047   0.014418      NaN
287  Temperature       0  2.0  0.0   85  305.522553  1.970920  0.814697   0.011143      NaN
288  Temperature       0  2.0  0.0   86  305.598289  2.173568  0.970467   0.013661      NaN
289  Temperature       0  2.0  0.0   87  305.552120  2.108806  0.896240   0.014403      NaN
290  Temperature       0  2.0  0.0   88  305.609238  2.003217  0.936593   0.010242      NaN
291  Temperature       0  2.0  0.0   89  305.484967  1.992493  0.776774   0.011470      NaN
292  Temperature       0  2.0  0.0   90  305.643181  2.086183  1.020702   0.009713      NaN
293  Temperature       0  2.0  0.0   91  305.675752  2.412359  1.172569   0.010562      NaN
294  Temperature       0  2.0  0.0   92  305.659506  2.423634  1.157172   0.016845      NaN
295  Temperature       0  2.0  0.0   93  305.574339  2.027611  0.908040   0.013781      NaN
296  Temperature       0  2.0  0.0   94  305.710921  2.659941  1.312397   0.011852      NaN
297  Temperature       0  2.0  0.0   95  305.577817  2.199555  0.950644   0.011752      NaN
298  Temperature       0  2.0  0.0   96  305.582327  2.053370  0.927979   0.013467      NaN
299  Temperature       0  2.0  0.0   97  305.676778  2.512628  1.205870   0.014630      NaN
300  Temperature       0  2.0  0.0   98  305.709543  2.684387  1.317350   0.014717      NaN
301  Temperature       0  2.0  0.0   99  305.646930  2.431816  1.131212   0.015628      NaN
302  Temperature       0  2.0  0.0  100  305.532314  2.040264  0.849447   0.012541      NaN
