             QOI  subset    p    s    b       beta0         beta1    gamma1     objective  p-value
150  Temperature       0  1.0  1.0   49  307.251730  2.506435e+06  1.984473  8.111328e-04      NaN
151  Temperature       0  1.0  1.0   50  307.249004  2.910860e+06  2.000000  4.388423e-03      NaN
152  Temperature       0  1.0  1.0   51  307.251739  2.896377e+06  2.000000  2.531839e-03      NaN
153  Temperature       0  1.0  1.0   52  307.227385  7.851182e+05  1.825745  3.407829e-03      NaN
154  Temperature       0  1.0  1.0   53  307.249004  2.910856e+06  2.000000  1.113282e-07      NaN
155  Temperature       0  1.0  1.0   54  307.235812  2.910857e+06  2.000000  5.507887e-03      NaN
156  Temperature       0  1.0  1.0   55  307.251626  2.910857e+06  2.000000  4.328331e-04      NaN
157  Temperature       0  1.0  1.0   56  307.249004  2.910857e+06  2.000000  8.722113e-04      NaN
158  Temperature       0  1.0  1.0   57  307.229153  1.024863e+06  1.860569  7.957242e-04      NaN
159  Temperature       0  1.0  1.0   58  307.249004  2.910858e+06  2.000000  1.094695e-03      NaN
160  Temperature       0  1.0  1.0   59  307.235246  2.983705e+06  2.000000  4.784911e-03      NaN
161  Temperature       0  1.0  1.0   60  307.235812  2.910857e+06  2.000000  5.507887e-03      NaN
162  Temperature       0  1.0  1.0   61  307.249004  2.910857e+06  2.000000  5.483012e-03      NaN
163  Temperature       0  1.0  1.0   62  307.249004  2.910859e+06  2.000000  5.483041e-03      NaN
164  Temperature       0  1.0  1.0   63  307.251626  2.910857e+06  2.000000  1.336189e-14      NaN
165  Temperature       0  1.0  1.0   64  307.247533  2.178328e+06  1.962207  1.736600e-04      NaN
166  Temperature       0  1.0  1.0   65  307.249004  2.910854e+06  2.000000  3.272378e-03      NaN
167  Temperature       0  1.0  1.0   66  307.247848  2.007815e+06  1.954883  9.413832e-05      NaN
168  Temperature       0  1.0  1.0   67  307.225740  5.423906e+05  1.780606  4.167091e-03      NaN
169  Temperature       0  1.0  1.0   68  307.249004  2.910857e+06  2.000000  8.721067e-04      NaN
170  Temperature       0  1.0  1.0   69  307.247770  2.343559e+06  1.971094  1.546112e-04      NaN
171  Temperature       0  1.0  1.0   70  307.251729  2.505494e+06  1.984424  6.138497e-05      NaN
172  Temperature       0  1.0  1.0   71  307.227624  7.092737e+05  1.815694  9.044803e-04      NaN
173  Temperature       0  1.0  1.0   72  307.229440  1.100996e+06  1.869297  3.614168e-03      NaN
174  Temperature       0  1.0  1.0   73  307.251739  2.896377e+06  2.000000  2.531839e-03      NaN
175  Temperature       0  1.0  1.0   74  307.249005  2.910855e+06  2.000000  5.483003e-03      NaN
176  Temperature       0  1.0  1.0   75  307.249004  2.910858e+06  2.000000  4.388468e-03      NaN
177  Temperature       0  1.0  1.0   76  307.246287  1.500207e+06  1.916860  6.009169e-04      NaN
178  Temperature       0  1.0  1.0   77  307.247771  2.343552e+06  1.971094  7.180934e-04      NaN
179  Temperature       0  1.0  1.0   78  307.249571  2.837998e+06  2.000000  1.781412e-03      NaN
180  Temperature       0  1.0  1.0   79  307.249004  2.910858e+06  2.000000  4.388468e-03      NaN
181  Temperature       0  1.0  1.0   80  307.248823  2.925693e+06  2.000000  1.197026e-04      NaN
182  Temperature       0  1.0  1.0   81  307.227694  8.439742e+05  1.834561  3.429531e-03      NaN
183  Temperature       0  1.0  1.0   82  307.249004  2.910857e+06  2.000000  5.483032e-03      NaN
184  Temperature       0  1.0  1.0   83  307.235246  2.983706e+06  2.000000  4.784918e-03      NaN
185  Temperature       0  1.0  1.0   84  307.251730  2.506435e+06  1.984473  8.112137e-04      NaN
186  Temperature       0  1.0  1.0   85  307.249919  2.836151e+06  2.000000  2.670482e-03      NaN
187  Temperature       0  1.0  1.0   86  307.247770  2.343558e+06  1.971094  1.546538e-04      NaN
188  Temperature       0  1.0  1.0   87  307.249004  2.910858e+06  2.000000  4.388468e-03      NaN
189  Temperature       0  1.0  1.0   88  307.247848  2.007815e+06  1.954883  7.780109e-04      NaN
190  Temperature       0  1.0  1.0   89  307.225740  5.423906e+05  1.780606  4.167091e-03      NaN
191  Temperature       0  1.0  1.0   90  307.247770  2.343559e+06  1.971094  1.546112e-04      NaN
192  Temperature       0  1.0  1.0   91  307.249920  2.836149e+06  2.000000  2.670410e-03      NaN
193  Temperature       0  1.0  1.0   92  307.248068  2.929698e+06  2.000000  4.483565e-03      NaN
194  Temperature       0  1.0  1.0   93  307.229153  1.024863e+06  1.860569  7.957242e-04      NaN
195  Temperature       0  1.0  1.0   94  307.234897  2.985562e+06  2.000000  7.204536e-03      NaN
196  Temperature       0  1.0  1.0   95  307.249004  2.910856e+06  2.000000  1.113282e-07      NaN
197  Temperature       0  1.0  1.0   96  307.249004  2.910854e+06  2.000000  3.272378e-03      NaN
